epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,839.882,1.62498,2.73371,1.31165,0.59407,0.68072,0.62932,0.34769,1.21941,13.7461,1.0343,0.000554284,0.000554284,0.000554284
2,1825.97,1.64616,1.9529,1.33849,0.57684,0.62226,0.58692,0.32932,1.25042,4.46364,1.06234,0.00108797,0.00108797,0.00108797
3,2384.68,1.64467,1.69969,1.34039,0.69286,0.70061,0.69321,0.3677,1.26752,2.19403,1.06721,0.00159966,0.00159966,0.00159966
4,2946.64,1.59075,1.48954,1.33474,0.58461,0.66117,0.59765,0.31624,1.32638,1.61271,1.12848,0.00156798,0.00156798,0.00156798
5,3522.6,1.55991,1.37377,1.30526,0.72139,0.66644,0.71813,0.37287,1.25436,1.60343,1.05546,0.00153497,0.00153497,0.00153497
6,4094.39,1.54932,1.31159,1.30875,0.72786,0.68509,0.7364,0.40608,1.26232,1.13635,1.04687,0.00150197,0.00150197,0.00150197
7,4687.38,1.54434,1.26526,1.29277,0.72736,0.71798,0.74544,0.4131,1.25925,1.14214,1.05489,0.00146896,0.00146896,0.00146896
8,5596.13,1.52245,1.17464,1.28874,0.71045,0.65769,0.70403,0.38466,1.24154,1.1948,1.05084,0.00143595,0.00143595,0.00143595
9,6170.01,1.49789,1.13336,1.27862,0.69748,0.75272,0.74317,0.39868,1.26751,1.01981,1.06915,0.00140295,0.00140295,0.00140295
10,6733.99,1.48427,1.11876,1.27127,0.73354,0.70176,0.73731,0.41614,1.23906,1.00708,1.06981,0.00136994,0.00136994,0.00136994
11,7306.2,1.44347,1.07277,1.24316,0.72369,0.74556,0.73858,0.40901,1.23609,0.98381,1.03101,0.00133693,0.00133693,0.00133693
12,8008.03,1.43767,1.03955,1.24265,0.71488,0.77219,0.75923,0.42818,1.23086,0.90545,1.04904,0.00130393,0.00130393,0.00130393
13,8585.02,1.41822,1.041,1.24756,0.73772,0.7184,0.75015,0.41727,1.23228,1.01008,1.03043,0.00127092,0.00127092,0.00127092
14,9168.44,1.42279,1.02215,1.23186,0.67969,0.74286,0.75574,0.4128,1.25888,0.86436,1.05572,0.00123791,0.00123791,0.00123791
15,10280.7,1.40258,0.99169,1.21702,0.77116,0.73328,0.76964,0.42096,1.23564,0.86599,1.04352,0.00120491,0.00120491,0.00120491
16,10846.9,1.39173,0.95459,1.21746,0.75569,0.77365,0.76455,0.42612,1.26968,0.83241,1.07204,0.0011719,0.0011719,0.0011719
17,11459.6,1.35602,0.91804,1.20433,0.77879,0.74063,0.78349,0.42658,1.23884,0.84084,1.05023,0.00113889,0.00113889,0.00113889
18,12235.8,1.35643,0.90544,1.20532,0.73971,0.781,0.79665,0.43895,1.2476,0.83311,1.04209,0.00110589,0.00110589,0.00110589
19,12806.4,1.33711,0.90528,1.19065,0.7654,0.78598,0.79525,0.4367,1.26249,0.79291,1.05871,0.00107288,0.00107288,0.00107288
20,13361.6,1.31812,0.83934,1.17753,0.74333,0.76548,0.75881,0.42119,1.28436,0.78917,1.08728,0.00103987,0.00103987,0.00103987
21,13921.8,1.31319,0.87361,1.17285,0.79443,0.7005,0.76991,0.42386,1.29661,0.82672,1.09679,0.00100687,0.00100687,0.00100687
22,14490.6,1.31385,0.84249,1.18459,0.73305,0.74969,0.75868,0.42044,1.28629,0.82644,1.0827,0.000973861,0.000973861,0.000973861
23,15523.7,1.2935,0.8365,1.16871,0.71988,0.76751,0.77007,0.42982,1.24383,0.79421,1.05692,0.000940855,0.000940855,0.000940855
24,16068.6,1.27784,0.79162,1.16791,0.73996,0.76451,0.766,0.42377,1.29482,0.81821,1.10361,0.000907848,0.000907848,0.000907848
25,16612.8,1.27739,0.78561,1.16876,0.75704,0.74821,0.78795,0.43752,1.27544,0.81907,1.09785,0.000874842,0.000874842,0.000874842
